安全な薬	
PNP	"D10AF51 ·クリンダマイシン配合 ニキビ治療薬
アクナタック、ベンザクン、クリンドニクス、クリンドキシル、クリンゾイル、デュアック、デュオクタン、インドキシル、クリンダマイシン、コンビナスヨナー"
PNP	"D10AF52 ·エリスロマイシン配合 ニキビ治療薬
アクネマイシンプラス・エリトロマイシン、コンビナスヨナー・ジネリット"
NP	"D11AC03・セレン化合物  その他の皮膚科用製剤
Selenforbindelser · Selsun"
NP	"D11AC08 ·硫黄化合物 その他の皮膚科用製剤
Svovelforbindelser"
PNP	"D11AH01 ·タクロリムス その他の皮膚科用製剤
デルミトピック・プロトピック・タクロリムス・タクロリムスム・タクロノバ・タクロリムス・タクロゼム"
PNP	"D11AH02 ·ピメクロリムス その他の皮膚科用製剤
エリデル・ピメクロリムス"
PNP	"D11AX16・エフロルニチン  その他の皮膚科用製剤
エフロルニチン・ヴァニカ"
PNP	"D11AX18 ·ジクロフェナク その他の皮膚科用製剤
ディクロフェナク・メデュラン・ソラクタン・ソラゼ"
PNP	"D11AX22・イベルメクチン  その他の皮膚科用製剤
イベルメクチン·イベルメクチン·ローズゾルート·スーラントラ·ベザルコ·イベルファスト"
PNP	"G01AA10 ·クリンダマイシン 婦人科用抗感染薬および消毒薬
クリンダマイシン·クリンダバッグ·ダラシン·ダラシン c ·クリンダマイシン·シンバクチン"
PNP	"G01AF01 ·メトロニダゾール 婦人科用抗感染薬および消毒薬
アリリン・フラジール・フラジールコンプ・メトロニダゾール・ビラントリン・ジドバル"
PNP	"G02AD02 ·ジノプロストン その他の婦人科用医薬品
セルビジル・ディノプロストン・ミンプロスチン・プレピジル・プロペス・プロスチンe2"
PNP	"G02AD03 ·ゲメプロスト その他の婦人科用医薬品
ゲメプロスト"
PNP	"G02AD04 ·カルボプロスト その他の婦人科用医薬品
カルボプロスト·カルボプロスト·プロスチン·プロスチン15m ·プロスチンフェネム"
NP	"G02BA02 ·銅入りプラスチック製IUD  その他の婦人科用製品
Plastspiraler med Kopper"
PNP	"G02CB01 ·ブロモクリプチン その他の婦人科用医薬品
ブロメルゴン、ブロモコーン、ブロモクリプチン、パーロデル、プラビデル"
PNP	"G02CB03 ·カベルゴリン その他の婦人科用医薬品
カベネックス・カベルゴリン・ドスティネックス・カベルゴリン"
NP	"G02CX ·その他の婦人科用医薬品 その他の婦人科用医薬品
アンドレ・ギネコロジスク・ミドラー・フェモニア・ラディバ・リンケット"
PNP	"G02CX01 ·アトシバン その他の婦人科用医薬品
アトシバン・トラクトシル"
PNP	"G02CX06 ·フェゾリネタント その他の婦人科用医薬品
フェゾリネタント・ヴェオザ"
PNP	"G03BA03 ·テストステロン 性ホルモンおよび生殖器系の調節物質
アンドロトップ·デポテストト·リヴェンサ·ネビド·オムナドレン·サスタノン·テスタバン·テストゲル·テストヌール·テストステロン·テストステロン-デポ·テストステロン·テストステロナム·テストステロンウンデカノアト·テストビロン-デポ·トストラン·トザロン·ウンデスター·ヴェスティローラ"
NP	"G04BC ·尿路結石溶解剤 UROLOGICALS
Litocid · Midler til Oppløsning av Nyrestein · Rowatinex"
PNP	"G04BD04 ·オキシブチニン 泌尿器科用
ディトロパン·ドレキシニン·ドリダーゼ·ドリップタン·ケンテラ·オクシブチニン·オキシブチニン·オキシブチニン·オキシブチニン·ウラレックス·ヴェラリク·ベソックス"
PNP	"G04BD07 ·トルテロジン 泌尿器科用
デフール・デトルシトール・ラノルテリル・チトロジン・トルディクス・トルテロジン・トルテロジン酒石酸塩・トルテロジン酒石酸塩・トルズリン・ウリンパー・ウロフロー"
PNP	"G04BD08 ·ソリフェナシン 泌尿器科
アダブロック、アフェニックス、アンチュリン、アソルフェナ、オーロソリン、ベラリスト、ベロフロー、ニフェロックス、シラミル、ソリフェナシン、ソリフェナシンスクシナート、ソリフリン、ソリンコ、ソリテバ、ソレカ、ウロケア、ウロノーム、ベロクソール、ベシケア、ベシソル、ベソリゴ、ゼベシン"
PNP	"G04BD10 ·ダリフェナシン 泌尿器科用
ダリフェナシン・エムセレックス"
PNP	"G04BD11 ·フェソテロジン 泌尿器科用
フェソタス·フェソテロジン·フェソテロジン·トビアズ"
PNP	"G04BD12・ミラベグロン ウロロジカルズ
ベギラックス、ベトミガ、イレティグ、ミンコンティ、ミラベグロン"
NP	"G04BE01 ·アルプロスタジル 泌尿器科用
アルプロスタジル・カバージェクト・ミューズ・ビタロス"
PNP	"G04BE03 ·シルデナフィル 泌尿器科用
アクティグラ·アクティグラフォルテ·アズルヴィグ·バルコガ·ドッペルシル·エルバシル·ファルシグラ·グランピダム·インテンシル·インベンタム·レカプ·マキシグラ·マクソン·マクソンフォルテ·メンシル·メナップ·メナップフォルテ·マイシルデカード·オリシルド·パーメン·パーメンフォルテ·プリンセックス·レミディア·レバスタッド·レバチオ·センパボックス·シランディル·シルコントロール·シルデナフィル·シルデナフィル·シルデロス·シルンゴ·ヴァリンジャー·ヴァリンジャーフォルテ·バイアグラ·ヴィザーシン·ジレクト·ジレクトフォルテ"
PNP	"G04BE07 ·アポモルフィン 泌尿器科用
アポモルフィン"
PNP	"G04BE08 ·タダラフィル 泌尿器科用
アダリフト·アドシルカ·アキリス·シアリス·エルリス·ゲロシラン·ハルタダ·メネロ·プロフィタダル·プルタデフ·クアトル·タダコントロール·タダラフィル·タダラフィルベータ·タダラフィルデュロフィル · タダラフィルマキシグラ·タダラフィルマクソン·タダメン·タダキシン·タディレクト·タドゥラン·タルマンコ"
NP	"G04BX01 ·水酸化マグネシウム 泌尿器科用
エムゲサン・マグネシウム・マグネシウムヒドロキシド"
PNP	"G04CA02 ·タムスロシン 泌尿器科用
アダタム、アポタミス、バゼタム、ブラダシン、エクスプロス、フォクシン、ミクトサン、オミタム、オムニック、オムニケア、オムニスタッド、オムサル、プロミクタン、プロスタムニック、ランロシン、スプロスティフ、シンロシン、タミクター、タミロン、タミスプラス、タムサクト、タムシガー、タムスアンリニ、タムスシンファ·タムスディル·タムスガラン ·タムスゲン·タムスロゲン·タムスロシイニヒドロクロリジ·タムスロシン·タムスロシン塩酸塩·タムスミン·タムスニック·タムサプリ·タムスリオン·タムスヴィラ·タムール·タニズ·タニズエラス·ウプロックス·ウロスタッド"
PNP	"G04CA03 ·テラゾシン 泌尿器科用
ヘイトリン・ヒイトリン・コルナム・シナールファ・テラブロック・テラゾシン"
PNP	"G04CA52 ·タムスロシンおよびデュタステリド 泌尿器科用医薬品
アダタム·デネリド·デュタム·デュオダート·デュオータム·デュタタムサキシロ·デュタムシン·デュタムソール·デュタプロスタム·デュタステム·デュタテックス·デュトロゼン·ファインダーツ·ハイデュタム·ランデュロシン·マルマックス·プロスタデュオ·タムスロシン / デュタステリド·ツインプロス·ユニソル"
PNP	"G04CA53 ·タムスロシンとソリフェナシン 泌尿器科
ベプラソット·フォクサライト·ミンゲラン·ランロシン·ソリパックス·ソリトンボ·ソルタムシン·タミスプラス·タムスロシン / ソリフェナシン·タムスロシン orソリフェナシン·タムスノルム·ウリソタム·ウリジア"
PNP	"G04CB02 ·デュタステリド 泌尿器科用
アダドゥット、アボダート、ダボスター、デリダスト、デュタフィン、デュタムソール、デュタステリド、デュタステリド、デュタジル、デュテスター、デュトリス、ファインダーツ、ジェロラドゥット、ラナドゥット"
NP	"H01AA02 ·テトラコサクチド 下垂体および視床下部ホルモンおよびその類似体
シナクテン・テトラコサクティド"
PNP	"H01AC01 ·ソマトロピン 下垂体および視床下部ホルモンとその類似体
ジェノトロピン、ノルディトロピン、ニュートロピナック、オムニトロペ、サイゼン、ソマトロピン、ゾマクトン"
NP	"H01BA02 ·デスモプレシン 下垂体および視床下部ホルモンおよびその類似体
アジン・デスモガレン・デスモプレシン・デスモプレシン酢酸塩・デスモプレシン・デュルセア・ミデセ・ミニリン・ミニリンメルト・ミタクラウ・ネストッド・ノクドゥルナ・ノクチル・オクトスティム・チュニエント・ベルーナ"
NP	"H01BB02 ·オキシトシン 下垂体および視床下部ホルモンとその類似体
オクシトシン・オキシトシン・ピトシン・シントシノン"
PNP	"H01CB02 ·オクトレオチド 下垂体および視床下部ホルモンおよびその類似体
Mycapssa · Octreoanne · Octreotid · Octreotide · Oczyesa · Okteva · Oktreotid · Sandostatin"
PNP	"H01CB03 ·ランレオチド 下垂体および視床下部ホルモンおよびその類似体
イプスティル·ランレオチド·ランレオチド·ミレレス·ソマチュリン"
